id,name,now_cost,position,team,transfers_in,expected_goals,red_cards,form_rank,transfers_out_event,ict_index,chance_of_playing_this_round,starts,creativity,expected_assists,ict_index_rank,cost_change_event,expected_goals_conceded_per_90,in_dreamteam,expected_goals_conceded,expected_goals_per_90,selected_by_percent,transfers_out,clean_sheets_per_90,cost_change_start_fall,ict_index_rank_type,dreamteam_count,transfers_in_event,own_goals,goals_conceded_per_90,corners_and_indirect_freekicks_order,goals_scored,influence_rank,cost_change_start,threat_rank,selected_rank_type,news_added,event_points,ep_this,status,value_season,expected_goal_involvements,starts_per_90,bonus,threat,points_per_game_rank,cost_change_event_fall,yellow_cards,web_name,direct_freekicks_order,saves,news,penalties_saved,creativity_rank_type,points_per_game,total_points,creativity_rank,bps,value_form,now_cost_rank,expected_goal_involvements_per_90,penalties_order,saves_per_90,now_cost_rank_type,goals_conceded,expected_assists_per_90,form,points_per_game_rank_type,ep_next,clean_sheets,assists,selected_rank,influence,influence_rank_type,threat_rank_type,minutes,penalties_missed,form_rank_type,chance_of_playing_next_round
688,Timothy Castagne,45,DEF,Fulham,349068,1.29,0,24,2713,100.3,,28,293.7,2.06,140,0,1.34,False,37.82,0.05,1.4,209906,0.32,0,29,2,4772,0,1.28,,1,131,0,156,69,,6,5.2,a,23.1,3.35,0.99,7,227.0,127,0,3,Castagne,,0,,0,25,3.2,104,132,496,1.2,363,0.12,,0.0,57,36,0.07,5.2,27,4.2,9,3,166,479.8,46,17,2539,0,5,
692,Steven Benda,40,GKP,Fulham,4410,0.00,0,481,19,0.0,,0,0.0,0.00,608,0,0.0,False,0.00,0.0,0.0,3091,0.0,0,74,0,16,0,0.0,,0,604,0,556,76,,0,0.0,a,0.0,0.00,0.0,0,0.0,621,0,0,Benda,,0,,0,58,0.0,0,591,0,0.0,722,0.0,,0.0,48,0,0.0,0.0,74,-1.0,0,0,590,0.0,74,46,0,0,67,
707,Fodé Ballo-Touré,45,DEF,Fulham,7732,0.00,0,651,40,1.9,100.0,0,2.1,0.00,503,0,1.36,False,0.80,0.0,0.0,6419,0.0,0,179,0,37,0,1.7,,0,488,0,469,202,2023-12-30T22:30:10.672858Z,0,0.0,a,0.9,0.00,0.0,0,2.0,536,0,1,Ballo-Touré,,0,,0,176,0.8,4,478,17,0.0,387,0.0,,0.0,70,1,0.0,0.0,176,-1.0,0,0,523,13.4,177,175,53,0,263,100.0
732,Devan Tanton,40,DEF,Fulham,2866,0.00,0,502,12,0.0,,0,0.0,0.00,630,0,0.0,False,0.00,0.0,0.0,2403,0.0,0,230,0,30,0,0.0,,0,626,0,579,228,,0,0.0,a,0.0,0.00,0.0,0,0.0,642,0,0,Tanton,,0,,0,228,0.0,0,613,0,0.0,751,0.0,,0.0,210,0,0.0,0.0,228,-1.0,0,0,600,0.0,230,223,0,0,188,
796,Kristian Sekularac,44,MID,Fulham,368,0.00,0,627,5,0.0,,0,0.0,0.00,716,0,0.0,False,0.00,0.0,0.0,265,0.0,1,273,0,7,0,0.0,,0,713,-1,684,336,,0,0.0,a,0.0,0.00,0.0,0,0.0,726,0,0,Sekularac,,0,,0,274,0.0,0,707,0,0.0,598,0.0,,0.0,346,0,0.0,0.0,281,-1.0,0,0,811,0.0,272,263,0,0,221,
810,Joshua King,45,MID,Fulham,540,0.00,0,741,2,0.0,,0,0.0,0.00,805,0,0.0,False,0.00,0.0,0.0,383,0.0,0,333,0,9,0,0.0,,0,802,0,787,328,,0,0.0,a,0.0,0.00,0.0,0,0.0,805,0,0,King,,0,,0,332,0.0,0,799,0,0.0,503,0.0,,0.0,302,0,0.0,0.0,334,-1.0,0,0,800,0.0,332,328,0,0,294,
289,Adrián San Miguel del Castillo,38,GKP,Liverpool,17043,0.00,0,405,59,0.0,,0,0.0,0.00,549,0,0.0,False,0.00,0.0,0.2,27728,0.0,2,42,0,291,0,0.0,,0,545,-2,485,44,,0,0.0,a,0.0,0.00,0.0,0,0.0,561,0,0,Adrián,,0,,0,19,0.0,0,525,0,0.0,850,0.0,,0.0,95,0,0.0,0.0,42,0.0,0,0,323,0.0,42,6,0,0,29,
290,Trent Alexander-Arnold,84,DEF,Liverpool,3468761,2.44,0,177,13500,167.2,100.0,23,923.4,5.66,45,0,1.09,False,24.09,0.11,10.3,4269642,0.32,-4,4,3,10792,0,1.13,1.0,3,90,4,176,14,2024-02-10T20:00:08.173397Z,0,2.0,a,13.7,8.10,1.04,19,189.0,34,0,6,Alexander-Arnold,1.0,0,,0,3,4.4,115,13,544,0.2,10,0.37,,0.0,1,25,0.26,2.0,3,2.0,7,5,41,557.8,34,31,1993,0,52,100.0
291,Alisson Ramses Becker,57,GKP,Liverpool,1657157,0.00,0,158,4102,62.1,100.0,26,10.4,0.00,246,0,1.2,False,31.29,0.0,9.3,1861763,0.27,-2,13,3,2848,0,1.04,,0,70,2,850,8,2024-02-16T20:00:08.685039Z,2,2.2,a,17.5,0.00,1.0,9,0.0,63,0,1,A.Becker,,79,,0,7,3.8,100,450,543,0.4,83,0.0,,3.04,1,27,0.0,2.2,8,2.2,7,0,46,611.6,13,98,2340,0,15,100.0
292,Stefan Bajcetic,47,MID,Liverpool,1248,0.00,0,390,4,0.0,100.0,0,0.0,0.00,817,0,3.17,False,0.88,0.0,0.0,5250,0.0,3,342,0,14,0,7.2,,0,816,-3,805,228,2023-09-29T10:30:08.978098Z,1,0.2,a,0.2,0.00,0.0,0,0.0,512,0,0,Bajcetic,,0,,0,341,1.0,1,813,3,0.0,327,0.0,,0.0,212,2,0.0,0.2,237,0.2,0,0,623,0.0,342,339,25,0,177,100.0
293,Darwin Núñez Ribeiro,76,FWD,Liverpool,5425414,16.11,0,194,49103,229.3,100.0,22,438.1,4.36,16,0,1.11,False,24.76,0.73,14.3,5431492,0.27,-1,5,2,1307,0,1.04,,11,54,1,6,6,2024-03-18T22:00:09.307784Z,1,1.8,a,17.1,20.47,0.99,9,1200.0,65,0,9,Darwin,,0,,0,5,3.8,130,72,394,0.2,22,0.93,3.0,0.0,8,23,0.2,1.8,12,1.8,6,11,27,654.2,7,4,1999,1,28,100.0
294,Diogo Teixeira da Silva,79,MID,Liverpool,2963475,5.24,1,162,2949,141.4,0.0,14,290.2,1.75,79,0,1.2,False,15.21,0.41,1.8,3140646,0.39,1,55,2,58,0,0.87,,10,127,-1,38,42,2024-04-24T07:00:09.581368Z,0,0.0,i,13.9,6.99,1.1,7,639.0,15,0,1,Diogo J.,,0,Hip injury - Expected back 13 May,0,93,5.2,110,136,328,0.3,14,0.55,,0.0,9,11,0.14,2.2,11,0.0,5,7,151,483.8,53,21,1141,0,79,0.0
295,Harvey Elliott,48,MID,Liverpool,74000,2.45,0,60,376,100.9,,9,393.0,4.05,139,0,1.22,False,15.94,0.19,0.3,75059,0.23,2,82,0,408,0,0.92,6.0,3,247,-2,113,98,,10,3.8,a,17.5,6.50,0.69,6,326.0,201,0,1,Elliott,,0,,0,68,2.6,84,88,352,0.8,296,0.5,,0.0,192,12,0.31,3.8,87,3.8,3,7,311,292.6,102,73,1176,0,29,
296,Fabio Henrique Tavares,50,MID,Liverpool,0,0.00,0,808,1,0.0,0.0,0,0.0,0.00,835,0,0.0,False,0.00,0.0,0.0,1122,0.0,0,356,0,0,0,0.0,,0,835,0,828,290,2023-08-01T09:50:49.848998Z,0,0.0,u,0.0,0.00,0.0,0,0.0,835,0,0,Fabinho,,0,Permanent Transfer to Al-Ittihad,0,356,0.0,0,832,0,0.0,176,0.0,,0.0,106,0,0.0,0.0,356,0.0,0,0,741,0.0,356,356,0,0,340,0.0
297,Cody Gakpo,71,FWD,Liverpool,367842,7.04,0,101,1418,131.1,100.0,15,299.2,2.32,93,0,1.25,False,20.55,0.43,2.3,788893,0.24,4,19,1,782,0,1.16,,7,158,-4,48,22,2023-10-01T02:00:08.267715Z,9,3.0,a,13.4,9.36,0.91,9,589.0,170,0,1,Gakpo,,0,,0,16,2.9,95,129,375,0.4,29,0.57,,0.0,12,19,0.14,3.0,29,3.0,4,5,125,429.6,15,20,1479,0,14,100.0
298,Joe Gomez,46,DEF,Liverpool,452822,0.89,0,296,3365,73.8,100.0,16,335.6,1.06,213,0,1.27,False,23.72,0.05,1.5,352692,0.37,-1,59,1,459,0,0.86,,0,240,1,276,68,2023-11-13T01:00:09.440163Z,0,0.7,a,15.7,1.95,0.86,2,99.0,251,0,5,Gomez,,0,,0,22,2.3,72,116,363,0.2,340,0.11,,0.0,44,16,0.06,0.7,78,0.7,7,1,164,300.2,89,82,1682,0,91,100.0
299,Jordan Henderson,50,MID,Liverpool,0,0.00,0,804,0,0.0,0.0,0,0.0,0.00,832,0,0.0,False,0.00,0.0,0.0,818,0.0,0,354,0,0,0,0.0,,0,832,0,824,304,2023-07-28T08:28:45.116062Z,0,0.0,u,0.0,0.00,0.0,0,0.0,832,0,0,Henderson,,0,Permanent transfer to Al-Ettifaq,0,353,0.0,0,828,0,0.0,170,0.0,,0.0,102,0,0.0,0.0,354,0.0,0,0,766,0.0,354,353,0,0,337,0.0
300,Curtis Jones,49,MID,Liverpool,32624,2.68,1,327,41,53.0,100.0,14,191.0,1.01,267,0,1.5,False,18.85,0.21,0.1,40948,0.16,1,130,0,36,0,1.35,,1,335,-1,187,150,2024-02-20T15:30:09.102514Z,0,0.5,a,7.8,3.69,1.11,2,176.0,357,0,3,Jones,,0,,0,125,1.8,38,199,168,0.1,242,0.29,,0.0,154,17,0.08,0.5,155,0.5,2,1,468,166.0,142,109,1133,0,154,100.0
301,Caoimhin Kelleher,37,GKP,Liverpool,1189314,0.00,0,351,13763,27.0,,10,10.0,0.01,367,-1,1.03,False,10.33,0.0,4.6,756438,0.2,3,26,0,3401,0,1.1,,0,271,-3,481,17,,0,0.3,a,9.2,0.01,1.0,3,0.0,98,1,0,Kelleher,,28,,0,8,3.4,34,452,198,0.1,859,0.0,,2.8,98,11,0.0,0.3,14,0.3,2,0,82,261.2,26,3,900,0,26,
302,Ibrahima Konaté,49,DEF,Liverpool,520898,0.70,1,326,3549,58.5,100.0,17,139.9,0.47,253,0,1.23,False,21.42,0.04,2.2,497422,0.34,1,78,0,1882,0,1.09,,0,202,-1,291,53,2024-03-08T10:30:08.423474Z,0,0.5,a,11.4,1.17,0.97,2,87.0,218,0,3,Konaté,,0,,0,71,2.5,56,248,315,0.1,241,0.07,,0.0,29,19,0.03,0.5,63,0.5,6,0,127,357.4,73,92,1570,0,109,100.0
303,Luis Díaz,77,MID,Liverpool,3618724,11.48,0,93,37472,242.4,100.0,30,749.0,4.45,13,0,1.16,False,31.87,0.42,11.9,3125841,0.22,-2,9,1,2769,0,1.16,,8,79,2,7,12,2023-12-23T22:00:09.137690Z,2,3.2,a,17.8,15.93,1.09,9,1088.0,58,0,3,Luis Díaz,,0,,0,23,3.9,137,29,406,0.4,19,0.58,,0.0,11,32,0.16,3.2,34,3.2,6,7,32,588.4,28,3,2480,0,44,100.0
304,Alexis Mac Allister,59,MID,Liverpool,617221,2.85,1,200,9310,148.8,100.0,29,660.4,4.42,67,0,1.23,False,33.29,0.11,4.4,1291926,0.18,1,47,1,844,0,1.14,5.0,4,59,-1,177,25,2024-01-29T06:30:09.385993Z,2,1.7,a,16.6,7.27,1.07,11,188.0,138,0,7,Mac Allister,,0,,0,33,3.2,98,39,467,0.3,70,0.27,,0.0,44,31,0.16,1.7,64,1.7,5,5,89,640.6,22,104,2441,0,95,100.0
305,Joel Matip,48,DEF,Liverpool,68702,0.48,0,771,40,26.1,0.0,9,33.3,0.11,371,0,1.3,False,11.21,0.06,0.3,83285,0.23,2,131,0,11,1,1.04,,0,317,-2,380,126,2023-12-03T23:30:10.074436Z,0,0.0,i,4.4,0.59,1.04,0,35.0,292,0,2,Matip,,0,Knee injury - Expected back 19 May,0,146,2.1,21,398,145,0.0,269,0.07,,0.0,31,9,0.01,0.0,99,0.0,2,0,306,192.8,120,131,779,0,270,0.0
306,Nathaniel Phillips,40,DEF,Liverpool,2433,0.00,0,463,5,0.0,0.0,0,0.0,0.00,592,0,0.0,False,0.00,0.0,0.1,19416,0.0,0,207,0,0,0,0.0,,0,588,0,539,173,2023-09-01T07:23:15.190757Z,0,0.0,u,0.0,0.00,0.0,0,0.0,605,0,0,Phillips,,0,Loaned to Celtic - expected back January,0,205,0.0,0,574,0,0.0,702,0.0,,0.0,177,0,0.0,0.0,206,0.0,0,0,430,0.0,207,199,0,0,164,0.0
307,Andrew Robertson,65,DEF,Liverpool,1017601,1.90,0,41,5666,148.3,100.0,17,829.3,3.62,69,0,1.25,False,22.27,0.11,4.6,1029537,0.11,0,7,2,6621,0,1.24,2.0,3,132,0,191,29,2024-03-27T02:00:09.729328Z,12,4.5,a,10.3,5.52,0.96,5,174.0,162,0,2,Robertson,,0,,0,4,3.0,67,19,425,0.7,46,0.31,,0.0,4,22,0.2,4.5,37,4.5,2,2,83,479.0,47,38,1599,0,10,100.0
308,Mohamed Salah,134,MID,Liverpool,7440169,19.53,0,42,77484,306.2,100.0,26,815.9,7.21,4,-1,1.08,True,28.30,0.75,25.5,7753208,0.27,-9,4,6,3089,0,1.03,,18,11,9,3,5,2024-02-26T00:30:09.476744Z,13,4.5,a,15.1,26.74,1.0,24,1302.0,3,1,2,Salah,4.0,0,,0,17,6.8,203,22,602,0.3,2,1.03,2.0,0.0,1,27,0.28,4.5,2,4.5,7,11,10,941.0,6,1,2351,2,20,100.0
309,Dominik Szoboszlai,71,MID,Liverpool,921498,3.34,0,233,1016,153.0,100.0,25,781.2,5.03,60,0,1.06,False,24.49,0.14,3.3,1059577,0.35,-1,42,1,374,0,0.91,4.0,3,168,1,104,29,2024-02-05T08:30:09.549556Z,1,1.3,a,13.7,8.37,1.08,7,341.0,150,0,1,Szoboszlai,2.0,0,,0,20,3.1,97,26,431,0.2,30,0.36,,0.0,17,21,0.22,1.3,70,1.3,8,4,102,410.2,76,66,2079,0,111,100.0
310,Thiago Alcántara do Nascimento,47,MID,Liverpool,2677,0.00,0,760,6,0.1,0.0,0,0.4,0.00,546,0,0.54,False,0.03,0.0,0.1,20585,0.0,3,248,0,6,0,18.0,,0,534,-3,802,138,2024-02-08T17:30:08.470239Z,0,0.0,i,0.2,0.00,0.0,0,0.0,508,0,0,Thiago,,0,Muscle injury - Unknown return date,0,241,1.0,1,503,3,0.0,305,0.0,,0.0,196,1,0.0,0.0,233,0.0,0,0,441,0.6,241,338,5,0,305,0.0
311,Konstantinos Tsimikas,44,DEF,Liverpool,1891455,0.09,0,378,519,46.2,100.0,8,267.5,1.26,295,0,1.13,False,8.46,0.01,1.1,1819072,0.53,1,99,1,66,0,0.93,3.0,0,342,-1,379,74,2023-12-23T22:00:09.220836Z,0,0.2,a,10.9,1.35,1.07,4,35.0,66,0,0,Tsimikas,,0,,0,29,3.7,48,147,201,0.0,548,0.18,,0.0,100,7,0.17,0.2,9,0.2,4,3,181,158.8,129,130,675,0,136,100.0
312,Sepp van den Berg,40,DEF,Liverpool,0,0.00,0,487,1,0.0,0.0,0,0.0,0.00,614,0,0.0,False,0.00,0.0,0.0,2596,0.0,0,222,0,0,0,0.0,,0,610,0,562,243,2023-07-17T06:21:35.145355Z,0,0.0,u,0.0,0.00,0.0,0,0.0,627,0,0,Van den Berg,,0,Season long loan to Mainz 05,0,220,0.0,0,597,0,0.0,731,0.0,,0.0,198,0,0.0,0.0,221,0.0,0,0,675,0.0,222,214,0,0,181,0.0
313,Virgil van Dijk,66,DEF,Liverpool,3037893,2.63,1,250,69537,140.6,75.0,34,172.5,1.01,81,-1,1.26,False,41.80,0.08,19.2,2194574,0.24,-6,9,1,985,0,1.11,,2,26,6,91,6,2024-05-03T09:30:10.223643Z,1,0.9,d,16.7,3.64,1.02,8,388.0,139,1,3,Virgil,3.0,0,Knock - 75% chance of playing,0,51,3.2,110,213,623,0.2,43,0.11,,0.0,3,37,0.03,1.2,28,0.9,8,2,17,843.6,1,1,2997,0,76,75.0
626,Jarell Quansah,40,DEF,Liverpool,62654,0.12,0,254,483,23.8,,11,43.1,0.15,390,0,0.92,False,10.36,0.01,0.3,42393,0.09,0,137,0,676,0,1.07,,0,327,0,420,123,,1,1.0,a,6.2,0.27,0.98,0,17.0,365,0,1,Quansah,,0,,0,132,1.7,25,379,186,0.2,728,0.02,,0.0,196,12,0.01,1.0,126,1.0,1,0,301,177.8,123,152,1008,0,80,
627,Bobby Clark,44,MID,Liverpool,2402,0.14,0,624,5,3.6,,1,5.3,0.01,483,0,1.83,False,1.75,0.15,0.0,3002,0.0,1,217,0,3,0,0.0,,0,491,-1,414,229,,0,0.0,a,1.1,0.15,1.05,0,19.0,477,0,0,Clark,,0,,0,223,1.0,5,460,7,0.0,592,0.16,,0.0,341,0,0.01,0.0,212,0.0,0,0,624,11.6,218,207,86,0,218,
628,Ben Doak,43,MID,Liverpool,5605,0.00,0,584,13,0.1,0.0,0,0.8,0.00,542,0,0.97,False,0.14,0.0,0.0,8585,0.0,2,244,0,12,0,0.0,,0,540,-2,646,212,2023-12-19T14:30:11.311171Z,0,0.0,i,0.2,0.00,0.0,0,0.0,472,0,0,Doak,,0,Knee injury - Unknown return date,0,237,1.0,1,495,3,0.0,654,0.0,,0.0,365,0,0.0,0.0,209,0.0,0,0,596,0.2,245,242,13,0,197,0.0
629,James McConnell,44,MID,Liverpool,1655,0.00,0,623,2,0.1,,0,0.4,0.00,543,0,0.3,False,0.01,0.0,0.0,2209,0.0,1,245,0,5,0,0.0,,0,532,-1,682,248,,0,0.0,a,0.7,0.00,0.0,0,0.0,476,0,0,McConnell,,0,,0,240,1.0,3,502,8,0.0,591,0.0,,0.0,340,0,0.0,0.0,211,0.0,0,0,652,1.0,239,261,3,0,217,
668,Wataru Endo,54,MID,Liverpool,23283,0.47,0,199,89,51.0,100.0,18,225.3,1.47,275,0,1.11,False,19.02,0.03,0.1,20571,0.29,1,132,0,56,0,0.87,,1,284,-1,352,124,2024-04-05T14:00:09.129658Z,3,1.7,a,8.0,1.94,1.05,0,46.0,395,0,9,Endo,,0,,0,111,1.6,43,175,222,0.3,111,0.12,,0.0,66,15,0.09,1.7,174,1.7,5,0,412,241.2,116,183,1549,0,94,100.0
708,Ryan Gravenberch,50,MID,Liverpool,32596,2.05,0,154,55,56.5,100.0,12,205.9,1.30,257,0,1.21,False,14.48,0.17,0.1,29794,0.25,0,127,0,61,0,1.26,,1,333,0,180,160,2024-02-26T00:30:10.017384Z,1,2.2,a,8.6,3.35,1.0,3,186.0,358,0,0,Gravenberch,,0,,0,115,1.8,43,182,169,0.4,205,0.28,,0.0,126,15,0.11,2.2,156,2.2,3,0,481,172.6,141,106,1075,0,75,100.0
726,Luke Chambers,40,DEF,Liverpool,2003,0.00,0,494,2,0.0,0.0,0,0.0,0.00,621,0,0.0,False,0.00,0.0,0.0,2097,0.0,0,226,0,0,0,0.0,,0,617,0,569,241,2024-01-15T07:30:51.468918Z,0,0.0,u,0.0,0.00,0.0,0,0.0,634,0,0,Chambers,,0,Has Joined Wigan Athletic on loan until the end of the season,0,224,0.0,0,604,0,0.0,739,0.0,,0.0,203,0,0.0,0.0,225,0.0,0,0,669,0.0,226,218,0,0,185,0.0
728,Callum Scanlon,39,DEF,Liverpool,4180,0.00,0,444,31,0.0,,0,0.0,0.00,576,0,0.0,False,0.00,0.0,0.0,2785,0.0,1,197,0,82,0,0.0,,0,572,-1,520,221,,0,0.0,a,0.0,0.00,0.0,0,0.0,588,0,0,Scanlon,,0,,0,195,0.0,0,558,0,0.0,842,0.0,,0.0,267,0,0.0,0.0,195,0.0,0,0,576,0.0,197,187,0,0,152,
743,Treymaurice Nyoni,45,MID,Liverpool,301,0.00,0,743,2,0.0,,0,0.0,0.00,807,0,0.0,False,0.00,0.0,0.0,276,0.0,0,335,0,4,0,0.0,,0,804,0,790,335,,0,0.0,a,0.0,0.00,0.0,0,0.0,807,0,0,Nyoni,,0,,0,334,0.0,0,801,0,0.0,507,0.0,,0.0,305,0,0.0,0.0,336,0.0,0,0,810,0.0,334,331,0,0,296,
756,Marcelo de Araújo Pitaluga Filho,40,GKP,Liverpool,132,0.00,0,486,0,0.0,0.0,0,0.0,0.00,613,0,0.0,False,0.00,0.0,0.0,172,0.0,0,75,0,0,0,0.0,,0,609,0,561,94,2024-01-09T10:26:52.979684Z,0,0.0,u,0.0,0.00,0.0,0,0.0,626,0,0,Pitaluga,,0,On loan to St Patrick’s Athletic until the end of the season,0,59,0.0,0,596,0,0.0,730,0.0,,0.0,49,0,0.0,0.0,75,0.0,0,0,828,0.0,75,47,0,0,68,0.0
757,Conor Bradley,42,DEF,Liverpool,1386907,0.91,0,355,10503,60.4,75.0,10,214.8,1.24,248,0,0.91,False,7.42,0.11,2.8,1097447,0.37,-2,76,2,149,1,0.86,,1,295,2,201,45,2024-04-15T08:30:09.329276Z,0,0.2,d,11.7,2.15,1.23,7,160.0,19,0,2,Bradley,,0,Lack of match fitness - 75% chance of playing,0,39,4.9,49,178,208,0.1,676,0.26,,0.0,162,7,0.15,0.3,2,0.2,3,3,113,229.2,109,45,733,0,121,75.0
782,Owen Beck,45,DEF,Liverpool,64,0.00,0,661,0,0.5,0.0,0,0.3,0.00,524,0,12.21,False,0.95,0.0,0.0,77,0.0,0,188,0,0,0,0.0,,0,507,0,713,276,2024-01-31T09:02:32.787486Z,0,0.0,u,0.2,0.00,0.0,0,0.0,483,0,0,Beck,,0,On loan to Dundee until the end of the season,0,186,1.0,1,506,2,0.0,405,0.0,,0.0,78,0,0.0,0.0,169,0.0,0,0,851,5.0,184,275,7,0,264,0.0
783,Kaide Gordon,45,MID,Liverpool,777,0.00,0,695,8,0.3,,0,0.3,0.00,529,0,39.6,False,0.44,0.0,0.0,567,0.0,0,237,0,7,0,0.0,,0,542,0,473,309,,0,0.0,a,0.2,0.00,0.0,0,2.0,492,0,0,Gordon,,0,,0,244,1.0,1,508,3,0.0,447,0.0,,0.0,265,0,0.0,0.0,223,0.0,0,0,776,0.2,246,231,1,0,262,
812,Lewis Koumas,45,FWD,Liverpool,1345,0.00,0,709,11,0.0,,0,0.0,0.00,778,0,0.0,False,0.00,0.0,0.0,900,0.0,0,89,0,19,0,0.0,,0,775,0,758,101,,0,0.0,a,0.0,0.00,0.0,0,0.0,781,0,0,Koumas,,0,,0,88,0.0,0,771,0,0.0,463,0.0,,0.0,82,0,0.0,0.0,90,0.0,0,0,710,0.0,87,88,0,0,76,
813,Fabian Mrozek,40,GKP,Liverpool,993,0.00,0,520,9,0.0,,0,0.0,0.00,648,0,0.0,False,0.00,0.0,0.0,729,0.0,0,88,0,6,0,0.0,,0,644,0,597,86,,0,0.0,a,0.0,0.00,0.0,0,0.0,660,0,0,Mrozek,,0,,0,72,0.0,0,631,0,0.0,771,0.0,,0.0,62,0,0.0,0.0,88,0.0,0,0,735,0.0,88,60,0,0,81,
824,Jayden Danns,43,FWD,Liverpool,7466,0.00,0,585,74,0.2,,0,3.7,0.01,538,0,1.67,False,0.13,0.0,0.0,5314,0.0,2,68,0,116,0,0.0,,0,683,-2,647,83,,0,0.0,a,0.2,0.01,0.0,0,0.0,555,0,1,Danns,,0,,0,58,0.5,1,469,1,0.0,655,0.13,,0.0,110,0,0.13,0.0,74,0.0,0,0,598,0.0,68,67,7,0,55,
837,Amara Nallo,40,DEF,Liverpool,158,0.00,0,539,8,0.0,,0,0.0,0.00,668,0,0.0,False,0.00,0.0,0.0,132,0.0,0,259,0,7,0,0.0,,0,664,0,618,268,,0,0.0,a,0.0,0.00,0.0,0,0.0,679,0,0,Nallo,,0,,0,258,0.0,0,652,0,0.0,793,0.0,,0.0,243,0,0.0,0.0,256,0.0,0,0,781,0.0,259,253,0,0,216,
21,Albert Sambi Lokonga,49,MID,Luton,4165,0.27,0,187,4,41.2,100.0,14,139.8,0.76,319,0,1.67,False,20.90,0.02,0.0,5141,0.16,1,151,0,39,0,1.92,,0,289,-1,372,239,2024-02-22T10:00:08.072035Z,6,1.3,a,7.6,1.03,1.12,2,37.0,219,0,3,Sambi,,0,,0,147,2.5,37,249,192,0.4,256,0.08,,0.0,163,24,0.06,1.8,91,1.3,2,3,640,236.6,120,190,1124,0,89,100.0
52,Marvelous Nakamba,43,MID,Luton,179086,0.18,0,568,98,26.5,0.0,13,102.8,0.49,370,0,2.09,False,26.26,0.01,0.4,264149,0.0,2,167,0,16,0,1.91,,0,351,-2,434,77,2023-12-27T00:00:09.843034Z,0,0.0,i,4.9,0.67,1.03,0,14.0,385,0,5,Nakamba,,0,Knee injury - Expected back 01 Jun,0,164,1.6,21,300,131,0.0,628,0.05,,0.0,356,24,0.04,0.0,166,0.0,0,0,254,146.4,150,213,1131,0,191,0.0
314,Elijah Adebayo,48,FWD,Luton,756122,5.26,0,170,537,107.9,100.0,14,175.4,0.44,120,0,1.84,False,25.42,0.38,0.9,786041,0.15,2,24,1,2155,0,2.1,,10,170,-2,60,32,2024-02-21T00:00:08.816918Z,9,1.5,a,18.8,5.70,1.02,9,495.0,75,0,1,Adebayo,,0,,0,30,3.6,90,212,292,0.4,283,0.41,2.0,0.0,58,29,0.03,2.0,14,1.5,2,1,202,408.0,17,24,1240,0,24,100.0
315,Mads Juel Andersen,38,DEF,Luton,209066,0.26,0,407,263,15.6,0.0,4,1.8,0.00,422,0,1.73,False,7.64,0.06,0.5,240798,0.0,2,149,0,306,0,1.36,,1,366,-2,394,100,2024-01-17T10:30:09.082409Z,0,0.0,i,3.9,0.26,0.91,1,27.0,322,0,1,Andersen,,0,Calf injury - Expected back 11 May,0,178,1.9,15,482,75,0.0,853,0.06,,0.0,274,6,0.0,0.0,106,0.0,0,0,247,126.8,141,138,397,0,140,0.0
316,Amari'i Bell,39,DEF,Luton,327102,0.38,0,425,2351,52.7,0.0,21,119.6,0.43,268,0,2.02,False,38.68,0.02,2.4,880371,0.1,1,86,0,20,0,2.15,,0,200,-1,347,52,2024-02-28T00:30:10.535716Z,0,0.0,i,9.0,0.81,1.1,3,50.0,363,0,0,Bell,,0,Hamstring injury - Expected back 01 Jun,0,77,1.7,35,266,263,0.0,817,0.04,,0.0,254,41,0.02,0.0,124,0.0,2,0,124,358.2,72,112,1720,0,145,0.0
317,Luke Berry,46,MID,Luton,2499,0.99,0,106,13,24.9,100.0,2,29.4,0.15,383,0,2.7,False,9.18,0.29,0.0,7387,0.0,4,172,0,14,0,2.35,2.0,2,380,-4,251,210,2023-11-04T03:00:08.936884Z,1,2.3,a,6.5,1.14,0.59,0,115.0,335,0,1,Berry,,0,,0,200,1.9,30,407,91,0.6,331,0.33,,0.0,214,8,0.04,2.8,141,2.3,0,1,594,107.6,159,134,306,0,51,100.0
318,Reece Burke,40,DEF,Luton,53110,1.86,0,201,265,69.5,100.0,19,171.5,0.91,225,0,1.94,False,33.90,0.11,0.2,39893,0.06,0,64,1,939,0,1.95,,0,181,0,232,135,2024-04-12T16:00:09.593495Z,2,1.1,a,10.0,2.77,1.09,2,131.0,325,0,4,Burke,,0,,0,54,1.9,40,216,252,0.4,697,0.16,,0.0,172,34,0.05,1.6,109,1.1,1,4,333,393.0,65,60,1573,0,60,100.0
319,Allan Campbell,49,MID,Luton,182,0.00,0,791,0,0.0,0.0,0,0.0,0.00,827,0,0.0,False,0.00,0.0,0.0,3925,0.0,1,350,0,0,0,0.0,,0,826,-1,817,267,2023-09-01T15:34:04.323217Z,0,0.0,u,0.0,0.00,0.0,0,0.0,827,0,0,Campbell,,0,Season-long loan to Millwall,0,349,0.0,0,823,0,0.0,236,0.0,,0.0,150,0,0.0,0.0,350,0.0,0,0,687,0.0,350,347,0,0,329,0.0
