id,name,now_cost,position,team,transfers_in,expected_goals,red_cards,form_rank,transfers_out_event,ict_index,chance_of_playing_this_round,starts,creativity,expected_assists,ict_index_rank,cost_change_event,expected_goals_conceded_per_90,in_dreamteam,expected_goals_conceded,expected_goals_per_90,selected_by_percent,transfers_out,clean_sheets_per_90,cost_change_start_fall,ict_index_rank_type,dreamteam_count,transfers_in_event,own_goals,goals_conceded_per_90,corners_and_indirect_freekicks_order,goals_scored,influence_rank,cost_change_start,threat_rank,selected_rank_type,news_added,event_points,ep_this,status,value_season,expected_goal_involvements,starts_per_90,bonus,threat,points_per_game_rank,cost_change_event_fall,yellow_cards,web_name,direct_freekicks_order,saves,news,penalties_saved,creativity_rank_type,points_per_game,total_points,creativity_rank,bps,value_form,now_cost_rank,expected_goal_involvements_per_90,penalties_order,saves_per_90,now_cost_rank_type,goals_conceded,expected_assists_per_90,form,points_per_game_rank_type,ep_next,clean_sheets,assists,selected_rank,influence,influence_rank_type,threat_rank_type,minutes,penalties_missed,form_rank_type,chance_of_playing_next_round
854,Finley Munroe,40,DEF,Aston Villa,151,0.00,0,525,7,0.0,,0,0.0,0.00,653,0,0.0,False,0.00,0.0,0.0,29,0.0,0,247,0,39,0,0.0,,0,649,0,602,271,,0,0.5,a,0.0,0.00,0.0,0,0.0,665,0,0,Munroe,,0,,0,245,0.0,0,636,0,0.0,776,0.0,,0.0,229,0,0.0,0.0,245,0.0,0,0,809,0.0,247,240,0,0,205,
62,Jaidon Anthony,49,MID,Bournemouth,1618,0.07,0,802,0,3.0,0.0,2,4.6,0.02,493,0,2.65,False,4.44,0.04,0.0,12946,0.0,1,223,0,0,0,2.98,,0,496,-1,429,193,2023-09-03T20:09:06.556250Z,0,0.0,u,0.6,0.09,1.19,0,16.0,518,0,1,Anthony,,0,Season-long loan to Leeds United,0,224,1.0,3,463,4,0.0,259,0.05,,0.0,165,5,0.01,0.0,241,0.0,0,0,554,9.0,221,211,151,0,335,0.0
63,Philip Billing,51,MID,Bournemouth,72196,2.51,1,329,128,88.0,100.0,13,313.1,2.11,177,0,1.9,False,28.87,0.17,0.3,123348,0.13,4,91,0,75,0,2.38,,2,235,-4,137,100,2024-02-04T21:00:08.947509Z,1,-0.5,a,11.6,4.62,0.86,3,266.0,299,0,3,Billing,1.0,0,,0,88,2.1,59,125,224,0.1,161,0.31,,0.0,99,36,0.14,0.5,124,0.5,2,3,314,303.6,98,88,1364,0,155,100.0
64,David Brooks,47,MID,Bournemouth,9628,2.45,0,762,8,31.4,0.0,2,112.4,0.47,350,0,2.02,False,6.08,0.81,0.0,16251,0.0,3,159,0,0,0,2.32,,1,397,-3,252,178,2024-02-01T07:18:01.865952Z,0,0.0,u,4.9,2.92,0.66,2,113.0,356,0,1,Brooks,,0,Joined Southampton on loan until the end of the season,0,156,1.8,23,276,71,0.0,308,0.97,,0.0,198,7,0.16,0.0,154,0.0,0,1,529,88.2,169,135,271,0,307,0.0
65,Ryan Christie,50,MID,Bournemouth,29073,2.11,0,152,124,165.3,100.0,33,735.1,5.05,48,0,1.54,False,46.84,0.07,0.1,26274,0.23,0,34,1,81,0,1.78,4.0,0,84,0,106,146,2024-03-30T20:30:08.567391Z,1,1.2,a,17.0,7.16,1.08,5,339.0,241,0,6,Christie,,0,,0,24,2.4,85,30,410,0.4,181,0.24,,0.0,108,54,0.17,2.2,100,2.2,7,5,457,576.0,32,68,2738,0,73,100.0
66,Lewis Cook,49,MID,Bournemouth,31210,0.39,1,151,167,116.5,100.0,30,616.0,2.72,106,0,1.65,False,47.87,0.01,0.1,28715,0.28,1,70,1,60,0,1.62,2.0,0,126,-1,325,153,2023-12-23T22:30:08.669674Z,2,1.2,a,14.9,3.11,1.04,5,59.0,240,0,5,L.Cook,,0,,0,38,2.4,73,44,417,0.4,233,0.1,,0.0,147,47,0.09,2.2,99,2.2,8,3,472,487.6,52,165,2607,0,72,100.0
67,Siriki Dembélé,45,MID,Bournemouth,0,0.00,0,655,0,0.0,0.0,0,0.0,0.00,734,0,0.0,False,0.00,0.0,0.0,398,0.0,0,282,0,0,0,0.0,,0,731,0,708,340,2023-07-17T06:20:36.127600Z,0,0.0,u,0.0,0.00,0.0,0,0.0,742,0,0,Siriki,,0,Permanent Transfer to Birmingham,0,281,0.0,0,727,0,0.0,397,0.0,,0.0,231,0,0.0,0.0,288,0.0,0,0,816,0.0,281,272,0,0,231,0.0
68,Ryan Fredericks,43,DEF,Bournemouth,973,0.00,0,560,3,0.0,0.0,0,0.0,0.00,677,0,0.0,False,0.00,0.0,0.0,2574,0.0,2,265,0,1,0,0.0,,0,674,-2,633,249,2023-08-06T23:30:05.414382Z,0,0.0,i,0.0,0.00,0.0,0,0.0,689,0,0,Fredericks,,0,Calf injury - Unknown return date,0,264,0.0,0,663,0,0.0,610,0.0,,0.0,121,0,0.0,0.0,263,0.0,0,0,698,0.0,265,262,0,0,231,0.0
69,James Hill,40,DEF,Bournemouth,8413,0.00,0,353,45,3.5,100.0,1,2.2,0.01,486,0,1.63,False,1.34,0.0,0.1,23618,0.0,0,173,0,94,0,1.22,,0,463,0,571,166,2024-01-26T02:00:09.620549Z,0,-0.7,a,1.2,0.01,1.22,0,0.0,459,0,0,Hill,,0,,0,175,1.0,5,476,22,0.1,741,0.01,,0.0,204,1,0.01,0.3,159,0.3,0,0,408,32.6,171,219,74,0,120,100.0
70,Lloyd Kelly,45,DEF,Bournemouth,24721,0.31,0,196,264,44.3,100.0,16,138.8,0.76,305,0,1.44,False,23.33,0.02,0.1,18398,0.25,0,103,0,120,0,1.85,,0,272,0,356,165,2024-02-24T22:00:08.884613Z,0,0.7,a,10.2,1.07,0.99,5,44.0,277,0,2,Kelly,,0,,0,72,2.2,46,251,282,0.4,394,0.07,,0.0,75,30,0.05,1.7,93,1.7,4,1,407,260.0,102,117,1457,0,58,100.0
